Designator,Mid X,Mid Y,Rotation,Layer
R8_4,148.3536,-110.5538,180.0,top
R8_3,89.2036,-175.8538,180.0,top
R8_2,148.3536,-45.2538,180.0,top
R8,30.0536,-175.8538,180.0,top
R9_9,84.022,-50.283,90.0,top
R9_8,24.872,-115.583,90.0,top
R9_7,84.022,-115.583,90.0,top
R9_6,143.172,-50.283,90.0,top
R9_5,143.172,-180.883,90.0,top
R9_4,24.872,-180.883,90.0,top
R9_3,84.022,-180.883,90.0,top
R9_2,143.172,-115.583,90.0,top
R9,24.872,-50.283,90.0,top
S1_9,54.76,-74.51,180.0,top
S1_8,54.76,-139.81,180.0,top
S1_7,173.06,-9.21,180.0,top
S1_6,113.91,-9.21,180.0,top
S1_5,173.06,-139.81,180.0,top
S1_4,113.91,-74.51,180.0,top
S1_3,113.91,-139.81,180.0,top
S1_2,173.06,-74.51,180.0,top
S1,54.76,-9.21,180.0,top
SW1_9,108.26,-147.38,90.0,top
SW1_8,49.11,-82.08,90.0,top
SW1_7,108.26,-16.78,90.0,top
SW1_6,167.41,-16.78,90.0,top
SW1_5,49.11,-16.78,90.0,top
SW1_4,167.41,-147.38,90.0,top
SW1_3,108.26,-82.08,90.0,top
SW1_2,49.11,-147.38,90.0,top
SW1,167.41,-82.08,90.0,top
SW2_9,80.416,-147.3322,270.0,top
SW2_8,21.266,-82.0322,270.0,top
SW2_7,80.416,-82.0322,270.0,top
SW2_6,139.566,-16.7322,270.0,top
SW2_5,80.416,-16.7322,270.0,top
SW2_4,139.566,-147.3322,270.0,top
SW2_3,21.266,-16.7322,270.0,top
SW2_2,139.566,-82.0322,270.0,top
SW2,21.266,-147.3322,270.0,top
U1_9,153.748,-23.271,0.0,top
U1_8,35.448,-23.271,0.0,top
U1_7,94.598,-88.571,0.0,top
U1_6,35.448,-88.571,0.0,top
U1_5,35.448,-153.871,0.0,top
U1_4,153.748,-153.871,0.0,top
U1_3,153.748,-88.571,0.0,top
U1_2,94.598,-23.271,0.0,top
U1,94.598,-153.871,0.0,top
U2_9,164.381,-42.409,315.0,top
U2_8,46.081,-42.409,315.0,top
U2_7,46.081,-107.709,315.0,top
U2_6,164.381,-173.009,315.0,top
U2_5,164.381,-107.709,315.0,top
U2_4,105.231,-107.709,315.0,top
U2_3,46.081,-173.009,315.0,top
U2_2,105.231,-42.409,315.0,top
U2,105.231,-173.009,315.0,top
U3_9,110.0475,-156.7557,270.0,top
U3_8,169.1975,-156.7557,270.0,top
